trip_distance,is_weekend,is_holiday,congestion_surcharge_dummy,airport_fee_dummy,duration_sec
1.06,0,0,1,0,331.0
1.51,0,0,1,0,319.0
2.58,0,0,0,1,365.0
6.93,0,0,1,0,2001.0
1.59,0,0,1,0,514.0
0.63,0,0,1,0,369.0
2.3,0,0,1,0,680.0
2.26,0,0,1,0,493.0
1.24,0,0,1,0,412.0
1.09,0,0,1,0,295.0
8.74,0,0,0,1,1305.0
3.3,0,0,1,0,560.0
1.78,0,0,1,0,550.0
18.0,0,0,1,1,2024.0
3.96,0,0,1,0,1093.0
9.6,0,0,0,1,1276.0
4.83,0,0,0,1,877.0
1.39,0,0,1,0,506.0
1.07,0,0,1,0,496.0
2.6,0,0,1,0,975.0
4.25,0,0,1,0,1028.0
2.08,0,0,1,0,579.0
2.02,0,0,1,0,700.0
3.57,0,0,1,0,1053.0
18.7,0,0,1,1,2143.0
2.87,0,0,1,0,988.0
2.09,0,0,1,0,588.0
20.64,0,0,1,1,1835.0
2.6,0,0,1,0,633.0
1.98,0,0,1,0,635.0
0.94,0,0,1,0,185.0
13.18,0,0,1,0,2650.0
5.59,0,0,1,0,1896.0
0.85,0,0,1,0,199.0
7.4,0,0,0,0,1919.0
1.47,0,0,1,0,418.0
17.31,0,0,0,1,1387.0
4.69,0,0,1,0,1178.0
5.05,0,0,1,0,915.0
1.81,0,0,1,0,584.0
1.02,0,0,1,0,423.0
11.37,0,0,0,1,2264.0
2.1,0,0,1,0,642.0
11.7,0,0,1,1,1455.0
2.7,0,0,1,0,709.0
5.66,0,0,1,0,1227.0
4.7,0,0,1,0,1166.0
1.74,0,0,1,0,377.0
14.5,0,0,0,1,1804.0
0.7,0,0,1,0,196.0
2.41,0,0,1,0,590.0
2.25,0,0,1,0,489.0
1.69,0,0,1,0,481.0
16.94,0,0,1,1,1656.0
6.73,0,0,1,1,789.0
27.13,0,0,0,1,2530.0
3.4,0,0,1,0,879.0
21.7,0,0,0,1,1952.0
8.03,0,0,1,0,1875.0
5.16,0,0,1,0,1005.0
0.47,0,0,1,0,185.0
18.1,0,0,1,1,1740.0
1.1,0,0,1,0,318.0
1.84,0,0,1,0,595.0
2.56,0,0,1,0,530.0
2.2,0,0,1,0,549.0
16.8,0,0,1,1,1604.0
9.84,0,0,1,1,1381.0
11.16,0,0,1,0,1485.0
1.1,0,0,1,0,397.0
5.5,0,0,0,1,1144.0
1.2,0,0,1,0,379.0
3.06,0,0,1,0,874.0
9.6,0,0,1,1,1275.0
7.04,0,0,0,1,758.0
10.35,0,0,1,0,1361.0
1.21,0,0,1,0,391.0
10.6,0,0,0,1,1255.0
4.8,0,0,1,0,1232.0
2.99,0,0,1,0,839.0
1.91,0,0,1,0,839.0
12.33,0,0,0,1,1570.0
4.96,0,0,1,0,1142.0
1.21,0,0,1,0,448.0
5.97,0,0,1,0,1939.0
2.4,0,0,1,0,933.0
6.7,0,0,1,0,1222.0
24.87,0,0,0,1,2246.0
5.26,0,0,1,0,820.0
0.53,0,0,1,0,203.0
5.87,0,0,0,1,1134.0
9.11,0,0,1,1,1448.0
1.1,0,0,1,0,430.0
0.74,0,0,1,0,342.0
1.2,0,0,1,0,818.0
3.09,0,0,0,0,564.0
0.66,0,0,1,0,243.0
3.0,0,0,1,0,1009.0
0.8,0,0,1,0,364.0
19.73,0,0,0,1,1804.0
6.1,0,0,1,0,1487.0
1.1,0,0,1,0,399.0
17.77,0,0,0,1,1816.0
2.92,0,0,1,0,561.0
5.05,0,0,1,1,1095.0
2.06,0,0,1,0,567.0
4.74,0,0,1,0,956.0
3.5,0,0,1,0,603.0
5.7,0,0,1,0,1631.0
7.45,0,0,1,0,1159.0
0.8,0,0,1,0,227.0
14.65,0,0,0,1,1377.0
0.23,0,0,1,0,161.0
9.99,0,0,0,1,1072.0
1.15,0,0,1,0,420.0
3.17,0,0,1,0,908.0
11.12,0,0,1,1,1436.0
6.0,0,0,1,0,1966.0
19.1,0,0,1,1,2123.0
8.09,0,0,1,1,1014.0
1.4,0,0,1,0,338.0
1.49,0,0,1,0,417.0
12.42,0,0,0,1,1212.0
7.5,0,0,1,0,2803.0
1.04,0,0,1,0,403.0
20.49,0,0,0,1,1884.0
4.6,0,0,1,0,1130.0
4.17,0,0,0,1,580.0
2.59,0,0,1,0,669.0
3.9,0,0,0,1,796.0
0.9,0,0,1,0,345.0
2.19,0,0,1,0,557.0
2.57,0,0,1,0,725.0
9.42,0,0,1,1,1079.0
9.32,0,0,1,1,1308.0
0.02,0,0,1,0,14.0
1.1,0,0,1,0,490.0
0.77,0,0,1,0,291.0
3.9,0,0,1,0,947.0
4.72,0,0,1,0,792.0
1.21,0,0,1,0,581.0
17.1,0,0,1,1,1822.0
0.65,0,0,1,0,322.0
8.75,0,0,1,0,1860.0
2.23,0,0,1,0,1282.0
5.23,0,0,1,0,1142.0
0.41,0,0,1,0,166.0
8.1,0,0,0,1,820.0
0.64,0,0,1,0,123.0
17.91,0,0,0,1,2101.0
1.7,0,0,1,0,426.0
2.19,0,0,1,0,399.0
22.89,0,0,0,1,2629.0
17.05,0,0,1,1,1771.0
5.79,0,0,1,0,1366.0
4.7,0,0,1,0,1202.0
19.8,0,0,1,1,1961.0
4.88,0,0,1,0,923.0
17.97,0,0,1,1,1516.0
2.0,0,0,1,0,542.0
17.0,0,0,1,0,2067.0
2.67,0,0,1,0,586.0
4.9,0,0,1,0,718.0
11.28,0,0,1,1,1713.0
17.61,0,0,0,1,1495.0
5.9,0,0,1,0,1766.0
0.9,0,0,1,0,129.0
17.9,0,0,1,1,2294.0
1.88,0,0,1,0,422.0
5.4,0,0,1,0,680.0
